Title,Released,Prod_Budget,Rated,Runtime,Genre,Director,Actors,Pirate_Count,Torrentz_Count,Zoogle_Ver_Count,Total_Torrents
Avatar,2009-12-18,425000000.0,PG-13,162,"Action, Adventure, Fantasy",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",371.0,961.0,118.0,1450.0
Spectre,2015-11-06,300000000.0,PG-13,148,"Action, Adventure, Thriller",Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",96.0,392.0,159.0,647.0
The Dark Knight Rises,2012-07-20,275000000.0,PG-13,164,"Action, Adventure, Drama",Christopher Nolan,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",215.0,623.0,23.0,861.0
John Carter,2012-03-09,275000000.0,PG-13,132,"Action, Adventure, Sci-Fi",Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",166.0,498.0,59.0,723.0
Tangled,2010-11-24,260000000.0,PG,100,"Animation, Adventure, Comedy","Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",170.0,361.0,32.0,563.0
Spider-Man 3,2007-05-04,258000000.0,PG-13,139,"Action, Adventure",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church",84.0,155.0,35.0,274.0
Harry Potter and the Half-Blood Prince,2009-07-15,250000000.0,PG,153,"Adventure, Family, Fantasy",David Yates,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",101.0,444.0,29.0,574.0
Superman Returns,2006-06-28,232000000.0,PG-13,154,"Action, Adventure, Sci-Fi",Bryan Singer,"Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden",41.0,159.0,25.0,225.0
Quantum of Solace,2008-11-14,230000000.0,PG-13,106,"Action, Adventure",Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",163.0,931.0,47.0,1141.0
The Avengers,2012-05-04,225000000.0,PG-13,143,"Action, Adventure, Sci-Fi",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",262.0,960.0,72.0,1294.0
Man of Steel,2013-06-14,225000000.0,PG-13,143,"Action, Adventure, Fantasy",Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",153.0,705.0,55.0,913.0
The Amazing Spider-Man,2012-07-03,220000000.0,PG-13,136,"Action, Adventure, Fantasy",Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",206.0,447.0,40.0,693.0
Jurassic World,2015-06-12,215000000.0,PG-13,124,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",102.0,532.0,179.0,813.0
Men in Black 3,2012-05-25,215000000.0,PG-13,106,"Action, Adventure, Comedy",Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",168.0,370.0,38.0,576.0
Robin Hood,2010-05-14,210000000.0,PG-13,140,"Action, Adventure, Drama",Ridley Scott,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt",137.0,406.0,45.0,588.0
Battleship,2012-05-18,209000000.0,PG-13,131,"Action, Adventure, Sci-Fi",Peter Berg,"Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker",161.0,639.0,55.0,855.0
Alice in Wonderland,2010-03-05,200000000.0,PG,108,"Adventure, Family, Fantasy",Tim Burton,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",157.0,387.0,34.0,578.0
The Amazing Spider-Man 2,2014-05-02,200000000.0,PG-13,142,"Action, Adventure, Fantasy",Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan",198.0,348.0,25.0,571.0
Iron Man 3,2013-05-03,200000000.0,PG-13,130,"Action, Adventure, Sci-Fi",Shane Black,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",272.0,851.0,65.0,1188.0
Monsters University,2013-06-21,200000000.0,G,104,"Animation, Adventure, Comedy",Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",90.0,337.0,36.0,463.0
Terminator Salvation,2009-05-21,200000000.0,PG-13,115,"Action, Sci-Fi",McG,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter",131.0,771.0,41.0,943.0
Toy Story 3,2010-06-18,200000000.0,G,103,"Animation, Adventure, Comedy",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",186.0,413.0,29.0,628.0
Cars 2,2011-06-24,200000000.0,G,106,"Animation, Adventure, Comedy","John Lasseter, Brad Lewis","Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer",159.0,398.0,35.0,592.0
Oz the Great and Powerful,2013-03-08,200000000.0,PG,130,"Adventure, Family, Fantasy",Sam Raimi,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",126.0,1.0,17.0,144.0
Titanic,1997-12-19,200000000.0,PG-13,194,"Drama, Romance",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",95.0,391.0,86.0,572.0
Green Lantern,2011-06-17,200000000.0,PG-13,114,"Action, Adventure, Sci-Fi",Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",167.0,542.0,54.0,763.0
Jack the Giant Slayer,2013-03-01,195000000.0,PG-13,114,"Adventure, Fantasy",Bryan Singer,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor, Stanley Tucci",136.0,395.0,22.0,553.0
World War Z,2013-06-21,190000000.0,PG-13,116,"Action, Adventure, Horror",Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",184.0,524.0,60.0,768.0
The Great Gatsby,2013-05-10,190000000.0,PG-13,143,"Drama, Romance",Baz Luhrmann,"Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley",83.0,282.0,27.0,392.0
Furious 7,2015-04-03,190000000.0,PG-13,137,"Action, Crime, Thriller",James Wan,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez",112.0,225.0,205.0,542.0
Pacific Rim,2013-07-12,190000000.0,PG-13,131,"Action, Adventure, Sci-Fi",Guillermo del Toro,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",146.0,647.0,51.0,844.0
The Good Dinosaur,2015-11-25,187500000.0,PG,93,"Animation, Adventure, Comedy",Peter Sohn,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",43.0,189.0,59.0,291.0
Iron Man,2008-05-02,186000000.0,PG-13,126,"Action, Adventure, Sci-Fi",Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",152.0,729.0,72.0,953.0
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-22,185000000.0,PG-13,122,"Action, Adventure, Fantasy",Steven Spielberg,"Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf",96.0,326.0,33.0,455.0
The Dark Knight,2008-07-18,185000000.0,PG-13,152,"Action, Adventure, Crime",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",230.0,753.0,41.0,1024.0
Brave,2012-06-22,185000000.0,PG,93,"Animation, Adventure, Comedy","Mark Andrews, Brenda Chapman, Steve Purcell","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",149.0,521.0,42.0,712.0
Maleficent,2014-05-30,180000000.0,PG,97,"Action, Adventure, Family",Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",141.0,445.0,48.0,634.0
Hugo,2011-11-23,180000000.0,PG,126,"Adventure, Drama, Family",Martin Scorsese,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz",121.0,314.0,40.0,475.0
The Legend of Tarzan,2016-07-01,180000000.0,PG-13,109,"Action, Adventure",David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",12.0,50.0,44.0,106.0
Jupiter Ascending,2015-02-06,179000000.0,PG-13,127,"Action, Adventure, Sci-Fi","Lana Wachowski, Lilly Wachowski","Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne",57.0,254.0,99.0,410.0
47 Ronin,2013-12-25,175000000.0,PG-13,128,"Action, Adventure, Drama",Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano",142.0,396.0,49.0,587.0
Wild Wild West,1999-06-30,175000000.0,PG-13,106,"Action, Western, Comedy",Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",17.0,72.0,30.0,119.0
Evan Almighty,2007-06-22,175000000.0,PG,96,"Comedy, Family, Fantasy",Tom Shadyac,"Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons",38.0,139.0,21.0,198.0
Waterworld,1995-07-28,175000000.0,PG-13,135,"Action, Adventure, Sci-Fi",Kevin Reynolds,"Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call",38.0,108.0,50.0,196.0
The Jungle Book,2016-04-15,175000000.0,PG,106,"Adventure, Drama, Family",Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",18.0,152.0,105.0,275.0
Inside Out,2015-06-19,175000000.0,PG,95,"Animation, Adventure, Comedy","Pete Docter, Ronnie Del Carmen","Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader",78.0,313.0,98.0,489.0
Monsters vs. Aliens,2009-03-27,175000000.0,PG,94,"Animation, Action, Adventure","Rob Letterman, Conrad Vernon","Reese Witherspoon, Seth Rogen, Hugh Laurie, Will Arnett",64.0,378.0,11.0,453.0
Dawn of the Planet of the Apes,2014-07-11,170000000.0,PG-13,130,"Action, Adventure, Drama",Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell",182.0,524.0,66.0,772.0
Snow White and the Huntsman,2012-06-01,170000000.0,PG-13,127,"Action, Adventure, Drama",Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",128.0,361.0,41.0,530.0
Guardians of the Galaxy,2014-08-01,170000000.0,PG-13,121,"Action, Adventure, Sci-Fi",James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",189.0,615.0,131.0,935.0
Van Helsing,2004-05-07,170000000.0,PG-13,131,"Action, Adventure, Fantasy",Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham",62.0,203.0,53.0,318.0
Tomorrowland,2015-05-22,170000000.0,PG,130,"Action, Adventure, Family",Brad Bird,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy",84.0,422.0,131.0,637.0
Alice Through the Looking Glass,2016-05-27,170000000.0,PG,113,"Adventure, Family, Fantasy",James Bobin,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",13.0,76.0,54.0,143.0
The Polar Express,2004-11-10,170000000.0,G,100,"Animation, Adventure, Family",Robert Zemeckis,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye",59.0,123.0,11.0,193.0
How to Train Your Dragon,2010-03-26,165000000.0,PG,98,"Animation, Adventure, Family","Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",181.0,379.0,23.0,583.0
Wreck-It Ralph,2012-11-02,165000000.0,PG,101,"Animation, Adventure, Comedy",Rich Moore,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch",136.0,361.0,37.0,534.0
Shrek Forever After,2010-05-21,165000000.0,PG,93,"Animation, Adventure, Comedy",Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",142.0,204.0,16.0,362.0
Big Hero 6,2014-11-07,165000000.0,PG,102,"Animation, Action, Adventure","Don Hall, Chris Williams","Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",49.0,334.0,71.0,454.0
Warcraft,2016-06-10,160000000.0,PG-13,123,"Action, Adventure, Fantasy",Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",30.0,228.0,162.0,420.0
Godzilla,2014-05-16,160000000.0,PG-13,123,"Action, Adventure, Sci-Fi",Gareth Edwards,"Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston",168.0,658.0,24.0,850.0
The Sorcerer's Apprentice,2010-07-14,160000000.0,PG,109,"Action, Adventure, Family",Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer",135.0,79.0,21.0,235.0
Alexander,2004-11-24,155000000.0,R,175,"Action, Adventure, Biography",Oliver Stone,"Anthony Hopkins, David Bedella, Jessie Kamm, Angelina Jolie",36.0,132.0,64.0,232.0
Pearl Harbor,2001-05-25,151500000.0,PG-13,183,"Action, Drama, History",Michael Bay,"Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott",47.0,159.0,47.0,253.0
The Matrix Reloaded,2003-05-15,150000000.0,R,138,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",61.0,156.0,29.0,246.0
Charlie and the Chocolate Factory,2005-07-15,150000000.0,PG,115,"Adventure, Comedy, Family",Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",50.0,86.0,26.0,162.0
Batman Begins,2005-06-15,150000000.0,PG-13,140,"Action, Adventure",Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",110.0,288.0,37.0,435.0
The Wolfman,2010-02-12,150000000.0,R,103,"Drama, Fantasy, Horror",Joe Johnston,"Simon Merrells, Gemma Whelan, Emily Blunt, Benicio Del Toro",118.0,256.0,34.0,408.0
The Last Airbender,2010-07-01,150000000.0,PG,103,"Action, Adventure, Family",M. Night Shyamalan,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone",105.0,227.0,24.0,356.0
Dark Shadows,2012-05-11,150000000.0,PG-13,113,"Comedy, Fantasy, Horror",Tim Burton,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green",110.0,380.0,24.0,514.0
G-Force,2009-07-24,150000000.0,PG,88,"Animation, Action, Adventure",Hoyt Yeatman,"Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner",53.0,337.0,36.0,426.0
The Matrix Revolutions,2003-11-05,150000000.0,R,129,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan",51.0,120.0,22.0,193.0
White House Down,2013-06-28,150000000.0,PG-13,131,"Action, Drama, Thriller",Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke",80.0,328.0,35.0,443.0
Harry Potter and the Goblet of Fire,2005-11-18,150000000.0,PG-13,157,"Adventure, Family, Fantasy",Mike Newell,"Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe",60.0,104.0,36.0,200.0
Wrath of the Titans,2012-03-30,150000000.0,PG-13,99,"Action, Adventure, Fantasy",Jonathan Liebesman,"Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar Ramírez",150.0,408.0,17.0,575.0
Thor,2011-05-06,150000000.0,PG-13,115,"Action, Adventure, Fantasy",Kenneth Branagh,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",222.0,952.0,95.0,1269.0
Troy,2004-05-14,150000000.0,R,163,Adventure,Wolfgang Petersen,"Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis",81.0,259.0,58.0,398.0
Ratatouille,2007-06-29,150000000.0,G,111,"Animation, Comedy, Family","Brad Bird, Jan Pinkava","Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy",71.0,311.0,20.0,402.0
Beowulf,2007-11-16,150000000.0,PG-13,115,"Animation, Action, Adventure",Robert Zemeckis,"Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian",68.0,332.0,26.0,426.0
Mr. Peabody & Sherman,2014-03-07,145000000.0,PG,92,"Animation, Adventure, Comedy",Rob Minkoff,"Ty Burrell, Max Charles, Lauri Fraser, Guillaume Aretos",109.0,328.0,18.0,455.0
How to Train Your Dragon 2,2014-06-13,145000000.0,PG,102,"Animation, Action, Adventure",Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",140.0,356.0,30.0,526.0
Sahara,2005-04-08,145000000.0,PG-13,124,"Action, Adventure, Comedy",Breck Eisner,"Matthew McConaughey, Steve Zahn, Penélope Cruz, William H. Macy",30.0,89.0,21.0,140.0
Rise of the Guardians,2012-11-21,145000000.0,PG,97,"Animation, Adventure, Family",Peter Ramsey,"Chris Pine, Alec Baldwin, Jude Law, Isla Fisher",129.0,364.0,27.0,520.0
Die Another Day,2002-11-22,142000000.0,PG-13,133,"Action, Adventure, Thriller",Lee Tamahori,"Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike",36.0,106.0,35.0,177.0
The Last Samurai,2003-12-05,140000000.0,R,154,"Action, Drama, History",Edward Zwick,"Ken Watanabe, Tom Cruise, William Atherton, Chad Lindberg",45.0,163.0,48.0,256.0
Kung Fu Panda 3,2016-01-29,140000000.0,PG,95,"Animation, Action, Adventure","Alessandro Carloni, Jennifer Yuh Nelson","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",58.0,381.0,238.0,677.0
The BFG,2016-07-01,140000000.0,PG,117,"Adventure, Family, Fantasy",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",5.0,32.0,26.0,63.0
